"method","sizes","probs","cells","pred_sizes_perf","pred_probs_perf","pred_warns_perf","pred_sizes_corr","pred_probs_corr","pred_warns_corr","zero_prop_corr","error_sizes_perf","error_probs_perf","error_sizes_corr","error_probs_corr"
"negloglik",22.9,0.25,2250,24.2097739292491,0.261123451891628,0,21.1893886254455,0.228589333303865,0,0.0377777777777778,1.30977392924908,0.0111234518916277,1.71061137455453,0.0214106666961354
"negloglik",13.2,0.71,200,11.2007535155517,0.66847168307711,0,3.94302097059916,0.411149327922513,0,0.55,1.99924648444828,0.0415283169228898,9.25697902940084,0.298850672077487
"negloglik",1.7,0.76,2050,1.52083304224628,0.724086445070442,0,4.57521180017566,0.866289432028349,0,0.90390243902439,0.179166957753724,0.0359135549295582,2.87521180017566,0.106289432028349
"negloglik",6.5,0.38,300,5.71274945942089,0.363420641670791,0,5.12759946628563,0.333010107197296,0,0.336666666666667,0.787250540579107,0.0165793583292085,1.37240053371437,0.0469898928027035
"negloglik",37.5,0.53,3100,36.1936022709783,0.521860784798095,0,121.540558992573,0.774875186525466,0,0.0893548387096774,1.30639772902168,0.00813921520190553,84.0405589925735,0.244875186525466
"negloglik",43.2,0.84,2250,40.4851752462553,0.831024006559781,0,22.7075898794717,0.725487028074486,0,0.361777777777778,2.71482475374467,0.0089759934402186,20.4924101205283,0.114512971925514
"negloglik",39.1,0.82,3050,43.3717090599634,0.834903213013029,0,68.3755761061559,0.884508610543946,0,0.353114754098361,4.27170905996335,0.0149032130130288,29.2755761061559,0.064508610543946
"negloglik",45.5,0.07,300,44.540942338339,0.0691253241902147,0,40.0085089326708,0.0594925927295568,0,0,0.959057661660992,0.000874675809785314,5.49149106732921,0.0105074072704432
"negloglik",5.1,0.66,1300,5.44637345378731,0.678689290341588,0,4.31283506302492,0.630446219270319,0,0.714615384615385,0.346373453787313,0.0186892903415882,0.787164936975082,0.0295537807296811
"negloglik",10.3,0.08,2650,10.3936862680975,0.0807439428955337,0,10.8566256541363,0.0807014106768986,0,0.0188679245283019,0.0936862680974784,0.000743942895533672,0.556625654136335,0.000701410676898565
